Country,Jan2020_cases,Jan2020_deaths,Feb2020_cases,Feb2020_deaths,Mar2020_cases,Mar2020_deaths,Apr2020_cases,Apr2020_deaths,May2020_cases,May2020_deaths,Jun2020_cases,Jun2020_deaths,Jul2020_cases,Jul2020_deaths,Aug2020_cases,Aug2020_deaths,Sep2020_cases,Sep2020_deaths,Oct2020_cases,Oct2020_deaths,Nov2020_cases,Nov2020_deaths,Dec2020_cases,Dec2020_deaths,Jan2021_cases,Jan2021_deaths,Feb2021_cases,Feb2021_deaths,Mar2021_cases,Mar2021_deaths,Apr2021_cases,Apr2021_deaths,May2021_cases,May2021_deaths,Jun2021_cases,Jun2021_deaths,Jul2021_cases,Jul2021_deaths,Aug2021_cases,Aug2021_deaths,Sep2021_cases,Sep2021_deaths,Oct2021_cases,Oct2021_deaths,Nov2021_cases,Nov2021_deaths,Dec2021_cases,Dec2021_deaths,Jan2022_cases,Jan2022_deaths,Feb2022_cases,Feb2022_deaths,Mar2022_cases,Mar2022_deaths,Apr2022_cases,Apr2022_deaths,May2022_cases,May2022_deaths,Jun2022_cases,Jun2022_deaths,Jul2022_cases,Jul2022_deaths,Aug2022_cases,Aug2022_deaths,Sep2022_cases,Sep2022_deaths,Oct2022_cases,Oct2022_deaths,Nov2022_cases,Nov2022_deaths,Dec2022_cases,Dec2022_deaths,Jan2023_cases,Jan2023_deaths,Feb2023_cases,Feb2023_deaths,Mar2023_cases,Mar2023_deaths,Death_Rate
Afghanistan,0,0,5,0,166,4,1827,60,15180,254,31445,739,36628,1275,38248,1406,39354,1462,41334,1533,46215,1763,52330,2189,55023,2400,55714,2443,56454,2484,59745,2625,71838,2944,118659,4871,147154,6708,153220,7118,155174,7204,156250,7280,157289,7308,158084,7356,162926,7414,173659,7598,177747,7670,178879,7683,180347,7705,182528,7723,185749,7748,193250,7777,199188,7800,203063,7822,205907,7833,207559,7849,208545,7882,209322,7896,209451,7896,3.7698554793245203
Albania,0,0,0,0,243,15,773,31,1137,33,2535,62,5276,157,9513,284,13649,387,20875,509,38182,810,58316,1181,78127,1380,107167,1796,125157,2235,131085,2394,132315,2451,132521,2456,133081,2457,146387,2498,170131,2698,185300,2924,199945,3096,210224,3217,258543,3346,271563,3469,273677,3492,275107,3496,276101,3497,280851,3500,312097,3545,329352,3582,332221,3589,332966,3593,333343,3594,333806,3595,334167,3596,334391,3598,334457,3598,1.075773567304616
Algeria,0,0,1,0,716,44,4006,450,9394,653,13907,912,30394,1210,44494,1510,51530,1736,57942,1964,83199,2431,99610,2756,107339,2891,113092,2983,117192,3093,122108,3253,128913,3472,139626,3716,171392,4254,196080,5269,203359,5812,206452,5920,210531,6071,218432,6276,252117,6579,264936,6835,265671,6874,265780,6875,265884,6875,266087,6875,267454,6876,270304,6878,270673,6879,270838,6881,271090,6881,271228,6881,271378,6881,271441,6881,271496,6881,2.534475646050034
Andorra,0,0,0,0,376,12,745,42,764,51,855,52,925,52,1176,53,2050,53,4756,75,6745,76,8049,84,9937,101,10866,110,12010,115,13232,125,13727,127,13911,127,14678,128,15033,130,15222,130,15516,130,17115,131,23740,140,35958,145,37999,151,40024,153,41349,153,42894,153,43774,153,45508,153,46027,154,46227,155,46535,155,47219,157,47751,165,47839,165,47866,165,47890,165,0.34453956984756734
Angola,0,0,0,0,7,2,27,2,86,4,284,13,1148,52,2654,108,4972,183,10805,284,15139,348,17553,405,19796,466,20807,508,22311,537,26652,596,34551,766,38849,900,42777,1011,47544,1217,56583,1537,64433,1710,65168,1733,81593,1770,98116,1895,98741,1900,99169,1900,99287,1900,99761,1900,101320,1900,102301,1912,102636,1917,103131,1917,103131,1917,104676,1924,105095,1930,105184,1931,105255,1933,105288,1933,1.835916723653218
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,0.0
Antigua and Barbuda,0,0,0,0,7,0,24,3,26,3,69,3,91,3,94,3,101,3,128,3,141,4,159,5,234,7,730,14,1136,28,1232,32,1260,42,1263,42,1303,43,1715,44,3231,79,4058,102,4141,117,4283,119,6627,127,7437,135,7491,135,7626,136,8253,138,8641,141,8773,144,8974,145,9098,146,9106,146,9106,146,9106,146,9106,146,9106,146,9106,146,1.6033384581594552
Argentina,0,0,0,0,1054,27,4428,218,16851,539,64530,1307,191302,3543,417735,8660,751001,16937,1166924,31002,1424533,38730,1625514,43245,1927239,47974,2107365,51965,2348821,55858,2977363,63865,3781784,78093,4470374,94304,4929764,105721,5185620,111812,5256902,115179,5288807,115950,5330748,116589,5654408,117169,8378656,121273,8900656,126152,9037911,128019,9072230,128542,9230573,128889,9367172,129070,9560307,129369,9678225,129711,9708420,129897,9718875,129991,9727247,130025,9891139,130124,10037135,130421,10044125,130463,10044957,130472,1.2988806223859395
Armenia,0,0,0,0,532,3,2066,32,9282,131,25542,443,38550,738,43781,879,50359,959,89813,1341,135124,2164,159409,2823,167026,3080,172058,3192,192639,3515,216064,4108,222670,4438,225095,4514,230110,4614,242135,4844,261697,5319,308326,6328,338518,7567,344930,7972,367795,8053,419832,8461,422519,8613,422867,8622,422963,8625,423243,8629,425365,8633,434398,8655,442875,8683,445242,8709,445737,8710,445976,8716,446008,8717,446819,8721,447308,8727,1.951004676866946
Australia,9,0,25,0,4559,18,6766,93,7202,103,7920,104,17280,201,25819,657,27096,888,27595,907,27912,908,28425,909,28818,909,28978,909,29322,909,29811,910,30118,910,30643,910,34383,924,55093,1012,107181,1311,172030,1743,211655,2011,425496,2253,2580386,3835,3235017,5210,4573066,6008,5953142,7250,7312408,8558,8164673,9930,9435839,11865,10042081,13961,10239653,15221,10379442,15665,10659898,16137,11131707,17052,11295446,18615,11366361,19373,11399460,19574,0.1717098880122392
Austria,0,0,3,0,9264,134,15402,635,16610,741,17629,810,20873,848,27131,903,44231,994,101467,1431,278500,4084,356063,7486,409286,9393,452646,10432,537302,11404,611569,12416,639722,12922,645936,13070,654243,13135,682620,13227,737702,13506,822260,13946,1147912,15405,1270811,16815,1835602,17207,2671323,17911,3842048,18952,4174744,19726,4288153,19927,4459767,20048,4774043,20317,4956010,20639,5131527,20743,5439567,20981,5561633,21210,5705093,21443,5780229,21689,5911294,21887,5961143,21970,0.3685534804315213
Azerbaijan,0,0,0,0,298,5,1804,24,5494,63,17524,213,31878,448,36435,534,40229,591,55269,730,121176,1392,218700,2641,230219,3132,234537,3220,261713,3567,319109,4517,333956,4913,336047,4974,343849,5023,424891,5636,483902,6525,531370,7074,588318,7856,616947,8358,658470,8734,785670,9417,791932,9692,792562,9709,792767,9713,793176,9717,798838,9748,813437,9805,821440,9917,823258,9944,824337,9980,826401,10008,827944,10085,828548,10119,828825,10138,1.2231773896781588
Bahamas,0,0,0,0,14,0,81,11,102,11,104,11,574,14,2217,50,4123,96,6714,144,7541,163,7871,170,8174,176,8519,179,9119,188,10453,199,11796,230,12586,246,14840,287,18139,354,20984,531,22351,643,22791,671,24476,717,32562,746,33135,771,33283,788,33558,798,34759,810,35975,817,36724,822,37075,823,37290,833,37386,833,37483,833,37491,833,37491,833,37491,833,37491,833,2.2218665813128484
Bahrain,0,0,41,0,567,4,3040,8,11398,19,26758,87,40982,147,51972,190,70864,251,81645,321,86956,341,92675,352,103057,375,122394,449,144445,521,176934,646,240531,980,265827,1352,269186,1384,272540,1388,275057,1389,276829,1393,277690,1394,282062,1394,374575,1408,514883,1454,554469,1471,568706,1475,585665,1488,625856,1492,659647,1509,671697,1515,680559,1520,690187,1528,696332,1536,698737,1539,700452,1543,707480,1548,710693,1553,0.21851910740643288
Bangladesh,0,0,0,0,51,5,7667,168,47153,650,145483,1847,237661,3111,312996,4281,363479,5251,407684,5923,464932,6644,513510,7559,535139,8127,546216,8408,611295,9046,759132,11450,800540,12619,913258,14503,1249484,20685,1500618,26195,1555911,27510,1569539,27868,1576284,27981,1585539,28072,1798833,28394,1943577,29037,1951577,29122,1952691,29127,1953507,29131,1973789,29149,2005257,29291,2011946,29323,2025197,29363,2035240,29423,2036585,29433,2037125,29440,2037556,29442,2037773,29445,2037871,29445,1.4448902801011447
